Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
Stretch,6089.64,6089.64,07/06/2013,Opp-GALEXIS AG-Q3 2013-1,Q3 2013
,444,444,07/08/2013,Opp-GEOLOGISCHE BUNDESANST-Q3 2013-1,Q3 2013
,9.1,70.18,07/09/2013,Opp-BA/APC-PRO SA-2013 Q3-1,Q3 2013
,3519,3519,07/09/2013,Opp-Englmayer Sped-Q3 2013-3,Q3 2013
,1950.91,1950.91,07/10/2013,Opp-VNSP/BASE AG SW-ENGINEERING-2013 Q3-1,Q3 2013
,3376,3376,07/10/2013,Opp-KCS.net Österreich Gmb-Q3 2013-2,Q3 2013
,36.04,36.04,07/13/2013,Opp-Akras Flavours-Q3 2013-2,Q3 2013
,120.2,120.2,07/16/2013,Opp-Scientific Games Int-Q3 2013-2,Q3 2013
,50088,50088,07/17/2013,Opp-FTVAR/OSYS AG-2013 Q3-1,Q3 2013
,18.36,18.36,07/20/2013,Opp-XXXLUTZ KG         TRU-Q3 2013-2,Q3 2013
,244.67,244.67,07/24/2013,Opp-UBIS AUSTRIA-Q3 2013-3,Q3 2013
,244.67,244.67,07/24/2013,Opp-KAV ADV (IMC)-Q3 2013-2,Q3 2013
,,,07/26/2013,Opp-MAGNA STEYR Fahrzeug-Q3 2013-2,Q3 2013
,1472.39,1472.39,07/29/2013,Opp-STVAR/ACOMMIT AG-2013 Q3-1,Q3 2013
,202.86,202.86,07/29/2013,Opp-DADC Austria-Q3 2013-4,Q3 2013
,,,07/30/2013,Opp-Kraftwerke VKW Vbg-Q3 2013-2,Q3 2013
,,,07/31/2013,Opp-PwC Österreich GmbH-Q3 2013-2,Q3 2013
,,,07/31/2013,Opp-Messner GmbH-Q3 2013-2,Q3 2013
Stretch,19657.14,19657.14,07/31/2013,Opp-B/UNITED MIZRAHI BANK-Q3 2013-1,Q3 2013
,353.37,353.37,07/31/2013,Opp-BAER RENE AG ANTRIEBSTECHNIK-2013 Q3-1,Q3 2013
,,,07/31/2013,Opp-Landesklinikum Melk-Q3 2013-3,Q3 2013
,6321.84,6321.84,08/01/2013,Opp-Wr. Neustädt Wäschere-Q3 2013-1,Q3 2013
,1471.46,1471.46,08/01/2013,Opp-Wimmer Medien-Q3 2013-1,Q3 2013
,6829.68,6829.68,08/01/2013,Opp-Weitzer-Parkett-Q3 2013-1,Q3 2013
,4347.78,4347.78,08/01/2013,Opp-ADAMER&KNEISSL-Q3 2013-2,Q3 2013
,240.66,240.66,08/01/2013,Opp-ADEG Ruhdorfer Chr TRU-Q3 2013-1,Q3 2013
,2912.42,2912.42,08/01/2013,Opp-ADEG Österreich-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,763.68,763.68,08/01/2013,Opp-ADNOVUM INFORMATIK AG-Q3 2013-1,Q3 2013
,2609.22,2609.22,08/01/2013,Opp-UBIS AUSTRIA-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,1638.26,1638.26,08/01/2013,Opp-AIR-COLOR SA-Q3 2013-1,Q3 2013
,5133.24,5133.24,08/01/2013,Opp-TRU/CHAUSSURES AESCHBACH-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1857.76,1857.76,08/01/2013,Opp-TRANS FIDUCIAIRE SA-Q3 2013-1,Q3 2013
,3699.16,3699.16,08/01/2013,Opp-TAAGN/TECHNOLOGIES INFORMATIQU-Q3 2013-1,Q3 2013
,7564.83,7564.83,08/01/2013,Opp-Svoboda & Co Mbelwerk-Q3 2013-2,Q3 2013
,64.08,64.08,08/01/2013,Opp-Spielo International-Q3 2013-2,Q3 2013
,11671.44,11671.44,08/01/2013,Opp-Skidata-Q3 2013-1,Q3 2013
,6286.29,6286.29,08/01/2013,Opp-Skidata Solution Servi-Q3 2013-1,Q3 2013
,21886.19,21886.19,08/01/2013,Opp-Skidata AG interne IT-Q3 2013-1,Q3 2013
,20244.11,20244.11,08/01/2013,Opp-SkiData AG-Q3 2013-2,Q3 2013
,365.64,365.64,08/01/2013,Opp-Schlo~hotel Freisitz R-Q3 2013-1,Q3 2013
,307.31,307.31,08/01/2013,Opp-LANDESKLINIKUM HOLLABR-Q3 2013-1,Q3 2013
,2132.34,2132.34,08/01/2013,Opp-Salesianer Miettex-Q3 2013-1,Q3 2013
,1342.08,1342.08,08/01/2013,Opp-UNICREDIT LEASING-Q3 2013-1,Q3 2013
,538.11,538.11,08/01/2013,Opp-Landesklinikum Melk-Q3 2013-2,Q3 2013
,2310.03,2310.03,08/01/2013,Opp-Rist Theodor R.-Q3 2013-1,Q3 2013
,2569.41,2569.41,08/01/2013,Opp-SERGE FERRARI AG-Q3 2013-1,Q3 2013
,480,480,08/01/2013,Opp-Adeg Othmar Ratzin TRU-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,19726.33,19726.33,08/01/2013,Opp-PREMEC SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1140.67,1140.67,08/01/2013,Opp-PICCADILLY SA-Q3 2013-1,Q3 2013
,8581,8581,08/01/2013,Opp-B/BORDIER & CIE BANQUIERS-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1224.34,1224.34,08/01/2013,Opp-NEWEDGE GROUP-Q3 2013-1,Q3 2013
,27928.85,27928.85,08/01/2013,Opp-B/SOCIETE GENERALE PRIVATE-Q3 2013-1,Q3 2013
,2898.63,2898.63,08/01/2013,Opp-Lindt & Sprüngli-Q3 2013-1,Q3 2013
,8.52,8.52,08/01/2013,Opp-BARRACUDA NETWORKS AG-Q3 2013-1,Q3 2013
,3102.98,3102.98,08/01/2013,Opp-Klacska P.GmbH + Co KG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,24703.42,24703.42,08/01/2013,Opp-BIELLA SCHWEIZ AG-Q3 2013-1,Q3 2013
,2288.97,2288.97,08/01/2013,Opp-KISLING AG-Q3 2013-1,Q3 2013
,12199.62,12199.62,08/01/2013,Opp-BOI GesmbH-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,3276.38,3276.38,08/01/2013,Opp-KELLER & GLASER-Q3 2013-1,Q3 2013
,962.64,962.64,08/01/2013,Opp-KAUFHAUS FIDLER IN TRU-Q3 2013-1,Q3 2013
,311.88,311.88,08/01/2013,Opp-KAO SWITZERLAND AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,9455.22,9455.22,08/01/2013,Opp-JCL LOGISTICS SWITZERLAND AG-Q3 2013-1,Q3 2013
,3897.11,3897.11,08/01/2013,Opp-Industrie-Logistik-Lin-Q3 2013-1,Q3 2013
,9211.05,9211.05,08/01/2013,Opp-ISV/COMARCH SWISS AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,3350.32,3350.32,08/01/2013,Opp-ISV/ADNOVUM INFORMATIK AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,8636.13,8636.13,08/01/2013,Opp-INTERCITY VERWALTUNGS-AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,291.33,291.33,08/01/2013,Opp-IMAFID SA-Q3 2013-1,Q3 2013
,485.04,485.04,08/01/2013,Opp-Buresch Karin      TRU-Q3 2013-1,Q3 2013
,20643.24,20643.24,08/01/2013,Opp-IEC-INTERNAT.ELECTROTECH.COMM.-Q3 2013-1,Q3 2013
,1327.08,1327.08,08/01/2013,Opp-C & C ABHOLGROMÄRKTE-Q3 2013-1,Q3 2013
